Source,Target,Type,Id
42,97,directed,1018
42,97,directed,1530
42,97,directed,1530
39,97,directed,1778
39,97,directed,1780
11,97,directed,3668
11,97,directed,3498
11,97,directed,3546
71,97,directed,3023
58,97,directed,785
81,97,directed,357
81,97,directed,365
89,97,directed,1395
102,97,directed,1443
50,97,directed,21
101,97,directed,1088
56,97,directed,2263
53,97,directed,2372
87,97,directed,2419
87,97,directed,2432
42,97,directed,568
75,97,directed,949
108,97,directed,2447
103,97,directed,2462
108,97,directed,967
108,97,directed,1044
106,97,directed,2934
108,97,directed,1243
108,97,directed,2378
68,97,directed,1051
68,97,directed,1052
68,97,directed,1053
68,97,directed,1054
68,97,directed,1055
68,97,directed,1056
68,97,directed,1057
68,97,directed,1058
68,97,directed,1059
68,97,directed,1060
68,97,directed,1061
68,97,directed,1062
68,97,directed,1063
68,97,directed,1064
68,97,directed,1065
68,97,directed,987
68,97,directed,1000
68,97,directed,1001
68,97,directed,1072
68,97,directed,1073
68,97,directed,1074
68,97,directed,1075
68,97,directed,1076
68,97,directed,1077
68,97,directed,1078
68,97,directed,1079
68,97,directed,1080
68,97,directed,1081
68,97,directed,1082
68,97,directed,1083
68,97,directed,1084
68,97,directed,1085
68,97,directed,1086
108,97,directed,999
103,97,directed,2857
64,97,directed,435
31,97,directed,3723
56,97,directed,2228
53,97,directed,2339
108,97,directed,3841
42,97,directed,597
40,97,directed,1866
39,97,directed,1792
103,97,directed,2471
101,97,directed,2192
103,97,directed,2854
103,97,directed,2847
64,97,directed,1099
108,97,directed,1314
74,97,directed,2440
58,97,directed,553
42,97,directed,786
58,97,directed,571
42,97,directed,606
81,97,directed,438
78,97,directed,2237
78,97,directed,2255
78,97,directed,2332
103,97,directed,2220
90,97,directed,2572
106,97,directed,2941
75,97,directed,579
50,97,directed,84
50,97,directed,85
50,97,directed,86
50,97,directed,87
50,97,directed,88
38,97,directed,417
58,97,directed,558
103,97,directed,2487
31,97,directed,3659
108,97,directed,1050
108,97,directed,3598
108,97,directed,3608
53,97,directed,2370
108,97,directed,893
93,97,directed,1969
79,97,directed,3074
58,97,directed,814
42,97,directed,804
31,97,directed,3687
108,97,directed,891
108,97,directed,2525
108,97,directed,3243
91,97,directed,2045
106,97,directed,2912
108,97,directed,3784
43,97,directed,2598
6,97,directed,1275
6,97,directed,1276
6,97,directed,1546
6,97,directed,1546
64,97,directed,421
108,97,directed,1273
108,97,directed,1274
108,97,directed,1499
92,97,directed,3416
92,97,directed,3417
92,97,directed,3454
92,97,directed,3455
92,97,directed,3502
92,97,directed,3503
16,97,directed,700
16,97,directed,717
103,97,directed,2147
2,97,directed,1203
36,97,directed,725
36,97,directed,723
36,97,directed,724
6,97,directed,616
56,97,directed,2261
74,97,directed,2632
103,97,directed,2612
43,97,directed,2608
109,97,directed,1441
22,97,directed,320
58,97,directed,544
11,97,directed,3693
1,97,directed,3360
1,97,directed,3361
1,97,directed,3362
1,97,directed,3363
1,97,directed,3365
108,97,directed,1291
108,97,directed,1736
31,97,directed,3690
16,97,directed,1650
16,97,directed,1655
16,97,directed,1657
42,97,directed,531
31,97,directed,3672
31,97,directed,3675
103,97,directed,3420
108,97,directed,3556
103,97,directed,1486
108,97,directed,1307
50,97,directed,35
84,97,directed,2
84,97,directed,5
108,97,directed,2991
26,97,directed,3853
56,97,directed,2181
103,97,directed,2456
108,97,directed,3467
16,97,directed,1784
11,97,directed,3636
78,97,directed,2059
78,97,directed,2084
103,97,directed,3441
91,97,directed,2050
56,97,directed,2227
64,97,directed,56
31,97,directed,3661
43,97,directed,2595
19,97,directed,229
19,97,directed,230
103,97,directed,3794
16,97,directed,1368
103,97,directed,1557
103,97,directed,1557
103,97,directed,3014
11,97,directed,3459
71,97,directed,3203
56,13,directed,2229
108,13,directed,1404
16,13,directed,1897
75,13,directed,1140
53,13,directed,2206
87,13,directed,2394
87,13,directed,2425
87,13,directed,2427
36,13,directed,826
91,13,directed,2009
91,13,directed,2048
91,13,directed,2108
74,13,directed,2112
74,13,directed,2830
103,13,directed,3240
19,13,directed,163
103,13,directed,1826
103,13,directed,1827
103,13,directed,1829
103,13,directed,2490
11,13,directed,2972
1,13,directed,3403
108,13,directed,1311
108,13,directed,1312
108,13,directed,1313
108,13,directed,1320
108,13,directed,1322
108,13,directed,1324
108,13,directed,1326
108,13,directed,1327
108,13,directed,1330
108,13,directed,1333
108,13,directed,1335
108,13,directed,1355
108,13,directed,1321
42,13,directed,952
10,13,directed,3388
61,13,directed,1939
102,13,directed,1405
46,13,directed,1560
46,13,directed,1560
91,13,directed,2110
108,13,directed,1588
108,13,directed,1588
108,13,directed,3520
11,13,directed,3001
11,13,directed,3315
108,13,directed,1131
1,13,directed,3398
25,13,directed,2398
81,13,directed,433
108,13,directed,1670
108,13,directed,1049
38,13,directed,377
38,13,directed,378
36,13,directed,825
74,13,directed,2246
74,13,directed,2827
